Item_identifier,item_weight,Item_fat_content,Item_visibility,Item_type,Item_mpr,Outlet_identifier,Outlet_establishment_year,Outlet_size,Outlet_location_type,Outlet_type,item_outlet_sales
DRB13,6.11500,Regular,0.007084185000,"Soft Drinks",191.153000000000,OUT017,2007,High,"Tier 2","Supermarket Type1",3415.5540000
DRB13,6.11500,Regular,0.011790780000,"Soft Drinks",189.053000000000,OUT010,1998,High,"Tier 3","Grocery Store",948.7650000
DRB24,8.78500,"Low Fat",0.020573334000,"Soft Drinks",156.465600000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2162.5184000
DRB24,8.78500,"Low Fat",0.020609218000,"Soft Drinks",155.165600000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",4016.1056000
DRB24,8.78500,"Low Fat",0.020618957000,"Soft Drinks",153.065600000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",4170.5712000
DRB24,8.78500,"Low Fat",0.020693619000,"Soft Drinks",153.165600000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1853.5872000
DRB25,12.30000,"Low Fat",0.069401919000,"Soft Drinks",107.993800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2036.6822000
DRB25,12.30000,"Low Fat",0.069446588000,"Soft Drinks",106.393800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",857.5504000
DRB25,12.30000,"Low Fat",0.069742672000,"Soft Drinks",106.293800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1715.1008000
DRB25,12.30000,"Low Fat",0.069852615000,"Soft Drinks",107.493800000000,OUT017,2007,High,"Tier 2","Supermarket Type1",2358.2636000
DRB25,12.30000,"Low Fat",0.116261335000,"Soft Drinks",107.093800000000,OUT010,1998,High,"Tier 3","Grocery Store",214.3876000
DRB48,16.75000,Regular,0.000000000000,"Soft Drinks",39.382200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",353.5398000
DRB48,16.75000,Regular,0.024832806000,"Soft Drinks",38.782200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",667.7974000
DRB48,16.75000,Regular,0.024848788000,"Soft Drinks",39.982200000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",746.3618000
DRB48,16.75000,Regular,0.024892129000,"Soft Drinks",37.882200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",589.2330000
DRB48,16.75000,Regular,0.024994069000,"Soft Drinks",37.482200000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",549.9508000
DRB48,16.75000,Regular,0.041599644000,"Soft Drinks",40.982200000000,OUT010,1998,Small,"Tier 3","Grocery Store",157.1288000
DRC01,5.92000,Regular,0.019184026000,"Soft Drinks",50.369200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",591.2304000
DRC01,5.92000,Regular,0.019200003000,"Soft Drinks",47.769200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",492.6920000
DRC01,5.92000,Regular,0.019238942000,"Soft Drinks",49.869200000000,OUT045,2002,High,"Tier 2","Supermarket Type1",1133.1916000
DRC01,5.92000,Regular,0.019278216000,"Soft Drinks",48.269200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",443.4228000
DRC01,5.92000,Regular,0.019308607000,"Soft Drinks",49.069200000000,OUT017,2007,High,"Tier 2","Supermarket Type1",1478.0760000
DRC12,17.85000,"Low Fat",0.037819720000,"Soft Drinks",191.618800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2475.4444000
DRC12,17.85000,"Low Fat",0.037826873000,"Soft Drinks",189.718800000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",2285.0256000
DRC12,17.85000,"Low Fat",0.037885683000,"Soft Drinks",190.418800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",952.0940000
DRC12,17.85000,"Low Fat",0.038040837000,"Soft Drinks",189.118800000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",3237.1196000
DRC13,8.26000,Regular,0.000000000000,"Soft Drinks",122.573000000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",739.0380000
DRC13,8.26000,Regular,0.032435437000,"Soft Drinks",124.873000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2956.1520000
DRC13,8.26000,Regular,0.032573725000,"Soft Drinks",125.073000000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",985.3840000
DRC13,8.26000,Regular,0.032625074000,"Soft Drinks",124.673000000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1847.5950000
DRC24,17.85000,"Low Fat",0.024922390000,"Soft Drinks",153.499800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",2922.1962000
DRC24,17.85000,"Low Fat",0.024961677000,"Soft Drinks",153.199800000000,OUT017,2007,Medium,"Tier 2","Supermarket Type1",3383.5956000
DRC25,5.73000,"Low Fat",0.045334098000,"Soft Drinks",87.088200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1803.6522000
DRC25,5.73000,"Low Fat",0.045371855000,"Soft Drinks",86.088200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1116.5466000
DRC25,5.73000,"Low Fat",0.045463871000,"Soft Drinks",85.288200000000,OUT045,2002,High,"Tier 2","Supermarket Type1",2061.3168000
DRC25,5.73000,"Low Fat",0.045556681000,"Soft Drinks",85.388200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1288.3230000
DRC25,5.73000,"Low Fat",0.075943184000,"Soft Drinks",85.588200000000,OUT010,1998,High,"Tier 3","Grocery Store",171.7764000
DRC27,13.80000,"Low Fat",0.058091482000,Dairy,245.180200000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",5650.6446000
DRC27,13.80000,"Low Fat",0.058192802000,Dairy,246.980200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",5896.3248000
DRC27,13.80000,"Low Fat",0.058220302000,Dairy,247.480200000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",1474.0812000
DRC27,13.80000,"Low Fat",0.058339153000,Dairy,246.280200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1228.4010000
DRC27,13.80000,"Low Fat",0.058431120000,Dairy,243.680200000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1965.4416000
DRC27,13.80000,"Low Fat",0.097251621000,Dairy,245.780200000000,OUT010,1998,Small,"Tier 3","Grocery Store",245.6802000
DRC36,13.00000,reg,0.044976367000,"Soft Drinks",176.205400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1225.7378000
DRC36,13.00000,Regular,0.000000000000,"Soft Drinks",173.605400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1751.0540000
DRC36,13.00000,Regular,0.044984874000,"Soft Drinks",175.005400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1926.1594000
DRC36,13.00000,Regular,0.045239326000,"Soft Drinks",174.105400000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",4377.6350000
DRC49,8.67000,"Low Fat",0.065424208000,"Soft Drinks",145.812800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2444.8176000
DRC49,8.67000,"Low Fat",0.065436581000,"Soft Drinks",142.912800000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",2013.3792000
DRD01,12.10000,Regular,0.061163967000,"Soft Drinks",56.561400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",828.9210000
DRD01,12.10000,Regular,0.061270647000,"Soft Drinks",53.261400000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",386.8298000
DRD01,12.10000,Regular,0.061299601000,"Soft Drinks",56.261400000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",552.6140000
DRD01,12.10000,Regular,0.061424738000,"Soft Drinks",56.761400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1049.9666000
DRD01,12.10000,Regular,0.061521569000,"Soft Drinks",55.861400000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1436.7964000
DRD12,6.96000,LF,0.077508015000,"Soft Drinks",92.314600000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1094.5752000
DRD12,6.96000,"Low Fat",0.077129323000,"Soft Drinks",92.714600000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1733.0774000
DRD12,6.96000,"Low Fat",0.077178965000,"Soft Drinks",93.114600000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2189.1504000
DRD12,6.96000,"Low Fat",0.077193561000,"Soft Drinks",89.914600000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1277.0044000
DRD12,6.96000,"Low Fat",0.077350112000,"Soft Drinks",91.414600000000,OUT045,2002,Medium,"Tier 2","Supermarket Type1",638.5022000
DRD12,6.96000,"Low Fat",0.077630199000,"Soft Drinks",90.914600000000,OUT017,2007,Medium,"Tier 2","Supermarket Type1",1459.4336000
DRD13,15.00000,"Low Fat",0.049038621000,"Soft Drinks",65.416800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1661.8368000
DRD13,15.00000,"Low Fat",0.049070183000,"Soft Drinks",61.916800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",767.0016000
DRD13,15.00000,"Low Fat",0.049155769000,"Soft Drinks",65.216800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",958.7520000
DRD13,15.00000,"Low Fat",0.049178998000,"Soft Drinks",65.616800000000,OUT045,2002,High,"Tier 2","Supermarket Type1",639.1680000
DRD13,15.00000,"Low Fat",0.049279392000,"Soft Drinks",65.716800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",575.2512000
DRD13,15.00000,"Low Fat",0.049357077000,"Soft Drinks",62.616800000000,OUT017,2007,High,"Tier 2","Supermarket Type1",958.7520000
DRD15,10.60000,"Low Fat",0.056748659000,Dairy,233.664200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",3950.1914000
DRD15,10.60000,"Low Fat",0.056785183000,Dairy,231.964200000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2091.2778000
DRD15,10.60000,"Low Fat",0.056795923000,Dairy,232.864200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",3485.4630000
DRD15,10.60000,"Low Fat",0.056884225000,Dairy,231.964200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",3020.7346000
DRD15,10.60000,"Low Fat",0.056911107000,Dairy,233.964200000000,OUT045,2002,High,"Tier 2","Supermarket Type1",3717.8272000
DRD15,10.60000,"Low Fat",0.095064731000,Dairy,232.464200000000,OUT010,1998,High,"Tier 3","Grocery Store",697.0926000
DRD24,13.85000,"Low Fat",0.030769458000,"Soft Drinks",141.715400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2978.1234000
DRD24,13.85000,"Low Fat",0.030795085000,"Soft Drinks",143.315400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1985.4156000
DRD24,13.85000,"Low Fat",0.030842963000,"Soft Drinks",143.115400000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2552.6772000
DRD24,13.85000,"Low Fat",0.030920531000,"Soft Drinks",141.015400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1701.7848000
DRD24,13.85000,"Low Fat",0.030969274000,"Soft Drinks",140.915400000000,OUT017,2007,High,"Tier 2","Supermarket Type1",1701.7848000
DRD24,13.85000,"Low Fat",0.051544658000,"Soft Drinks",142.515400000000,OUT010,1998,High,"Tier 3","Grocery Store",141.8154000
DRD25,6.13500,LF,0.079293753000,"Soft Drinks",111.286000000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",2263.7200000
DRD25,6.13500,"Low Fat",0.000000000000,"Soft Drinks",114.286000000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",2376.9060000
DRD25,6.13500,"Low Fat",0.078957122000,"Soft Drinks",111.986000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1697.7900000
DRD25,6.13500,"Low Fat",0.079094835000,"Soft Drinks",114.386000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1018.6740000
DRD25,6.13500,"Low Fat",0.079132212000,"Soft Drinks",112.686000000000,OUT045,2002,Medium,"Tier 2","Supermarket Type1",2942.8360000
DRD25,6.13500,"Low Fat",0.132183029000,"Soft Drinks",115.086000000000,OUT010,1998,Medium,"Tier 3","Grocery Store",452.7440000
DRD27,18.75000,"Low Fat",0.000000000000,Dairy,97.904200000000,OUT045,2002,High,"Tier 2","Supermarket Type1",1686.4714000
DRD27,18.75000,"Low Fat",0.023820082000,Dairy,97.604200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1488.0630000
DRD27,18.75000,"Low Fat",0.023876985000,Dairy,97.404200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2281.6966000
DRD27,18.75000,"Low Fat",0.023974769000,Dairy,99.004200000000,OUT017,2007,High,"Tier 2","Supermarket Type1",694.4294000
DRD37,9.80000,LF,0.023168230000,"Soft Drinks",47.506000000000,OUT010,1998,High,"Tier 3","Grocery Store",186.4240000
DRD37,9.80000,"Low Fat",0.013830218000,"Soft Drinks",45.306000000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1304.9680000
DRD37,9.80000,"Low Fat",0.013841737000,"Soft Drinks",45.206000000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1211.7560000
DRD37,9.80000,"Low Fat",0.013863257000,"Soft Drinks",45.106000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1398.1800000
DRD37,9.80000,"Low Fat",0.013869809000,"Soft Drinks",47.406000000000,OUT045,2002,High,"Tier 2","Supermarket Type1",978.7260000
DRD37,9.80000,"Low Fat",0.013898123000,"Soft Drinks",46.506000000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",372.8480000
DRD37,9.80000,"Low Fat",0.013920032000,"Soft Drinks",45.006000000000,OUT017,2007,High,"Tier 2","Supermarket Type1",792.3020000
DRD49,9.89500,LF,0.167831064000,"Soft Drinks",237.456400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",715.0692000
DRD49,9.89500,"Low Fat",0.167799329000,"Soft Drinks",239.456400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",5243.8408000
DRD49,9.89500,"Low Fat",0.168171430000,"Soft Drinks",237.756400000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",3813.7024000
DRD49,9.89500,"Low Fat",0.168780385000,"Soft Drinks",236.856400000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",4767.1280000
DRD60,15.70000,LF,0.037383778000,"Soft Drinks",179.763400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1817.6340000
DRD60,15.70000,"Low Fat",0.037201127000,"Soft Drinks",181.763400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2544.6876000
DRD60,15.70000,"Low Fat",0.037225070000,"Soft Drinks",182.463400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1999.3974000
DRD60,15.70000,"Low Fat",0.037232110000,"Soft Drinks",183.163400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",5634.6654000
DRD60,15.70000,"Low Fat",0.037289996000,"Soft Drinks",182.763400000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",3453.5046000
DRE01,10.10000,"Low Fat",0.167155198000,"Soft Drinks",241.751200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",5331.7264000
DRE01,10.10000,"Low Fat",0.279783532000,"Soft Drinks",241.851200000000,OUT010,1998,Small,"Tier 3","Grocery Store",484.7024000
DRE03,19.60000,"Low Fat",0.024222321000,Dairy,45.571800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",945.4360000
DRE03,19.60000,"Low Fat",0.024226902000,Dairy,48.771800000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",236.3590000
DRE03,19.60000,"Low Fat",0.024264569000,Dairy,46.571800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1607.2412000
DRE03,19.60000,"Low Fat",0.024276035000,Dairy,45.371800000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",614.5334000
DRE03,19.60000,"Low Fat",0.024325592000,Dairy,48.571800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",425.4462000
DRE03,19.60000,"Low Fat",0.024363939000,Dairy,46.371800000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",661.8052000
DRE03,19.60000,"Low Fat",0.040550868000,Dairy,45.571800000000,OUT010,1998,Small,"Tier 3","Grocery Store",47.2718000
DRE12,4.59000,"Low Fat",0.000000000000,"Soft Drinks",111.186000000000,OUT045,2002,High,"Tier 2","Supermarket Type1",1245.0460000
DRE12,4.59000,"Low Fat",0.070721656000,"Soft Drinks",113.286000000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1471.4180000
DRE12,4.59000,"Low Fat",0.070767174000,"Soft Drinks",111.986000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",792.3020000
DRE12,4.59000,"Low Fat",0.070780558000,"Soft Drinks",114.586000000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1245.0460000
DRE12,4.59000,"Low Fat",0.070890602000,"Soft Drinks",111.686000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1584.6040000
DRE13,6.28000,"Low Fat",0.027682047000,"Soft Drinks",85.519800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1744.3960000
DRE13,6.28000,"Low Fat",0.027699863000,"Soft Drinks",87.919800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1221.0772000
DRE13,6.28000,"Low Fat",0.027748176000,"Soft Drinks",86.519800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1395.5168000
DRE13,6.28000,"Low Fat",0.027761289000,"Soft Drinks",85.819800000000,OUT045,2002,High,"Tier 2","Supermarket Type1",872.1980000
DRE15,13.35000,"Low Fat",0.000000000000,Dairy,75.701200000000,OUT017,2007,Medium,"Tier 2","Supermarket Type1",1442.1228000
DRE15,13.35000,"Low Fat",0.017821466000,Dairy,75.101200000000,OUT045,2002,Medium,"Tier 2","Supermarket Type1",1366.2216000
DRE15,13.35000,"Low Fat",0.017857847000,Dairy,77.501200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1518.0240000
DRE25,15.35000,LF,0.073697713000,"Soft Drinks",91.912000000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",559.2720000
DRE25,15.35000,"Low Fat",0.073269336000,"Soft Drinks",92.112000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1118.5440000
DRE25,15.35000,"Low Fat",0.073283193000,"Soft Drinks",91.812000000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1771.0280000
DRE25,15.35000,"Low Fat",0.073397129000,"Soft Drinks",91.912000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2609.9360000
DRE27,11.85000,"Low Fat",0.132560174000,Dairy,97.272600000000,OUT013,1987,High,"Tier 3","Supermarket Type1",782.9808000
DRE27,11.85000,"Low Fat",0.132645493000,Dairy,96.972600000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1174.4712000
DRE27,11.85000,"Low Fat",0.132670580000,Dairy,96.472600000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",978.7260000
DRE27,11.85000,"Low Fat",0.132876847000,Dairy,98.072600000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1076.5986000
DRE27,11.85000,"Low Fat",0.132939639000,Dairy,98.072600000000,OUT045,2002,High,"Tier 2","Supermarket Type1",1761.7068000
DRE27,11.85000,"Low Fat",0.222063351000,Dairy,99.672600000000,OUT010,1998,High,"Tier 3","Grocery Store",195.7452000
DRE37,13.50000,LF,0.094603404000,"Soft Drinks",187.087200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",3214.4824000
DRE37,13.50000,"Low Fat",0.000000000000,"Soft Drinks",189.187200000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1890.8720000
DRE37,13.50000,"Low Fat",0.094219593000,"Soft Drinks",189.987200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1323.6104000
DRE37,13.50000,"Low Fat",0.094366079000,"Soft Drinks",190.987200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2836.3080000
DRE48,8.43000,LF,0.017322454000,"Soft Drinks",196.876800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",3350.3056000
DRE48,8.43000,"Low Fat",0.000000000000,"Soft Drinks",195.376800000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1576.6144000
DRE48,8.43000,"Low Fat",0.017311312000,"Soft Drinks",197.876800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",3744.4592000
DRE48,8.43000,"Low Fat",0.017325730000,"Soft Drinks",197.976800000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1182.4608000
DRE48,8.43000,"Low Fat",0.017360867000,"Soft Drinks",196.276800000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",1576.6144000
DRE48,8.43000,"Low Fat",0.017396308000,"Soft Drinks",196.076800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",4138.6128000
DRE49,20.75000,LF,0.021250002000,"Soft Drinks",150.502400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",2580.6408000
DRE49,20.75000,"Low Fat",0.000000000000,"Soft Drinks",153.002400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",2428.8384000
DRE49,20.75000,"Low Fat",0.021232318000,"Soft Drinks",151.102400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2428.8384000
DRE49,20.75000,"Low Fat",0.021283040000,"Soft Drinks",153.502400000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2428.8384000
DRE49,20.75000,"Low Fat",0.021293097000,"Soft Drinks",151.902400000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",2732.4432000
DRE49,20.75000,"Low Fat",0.021336565000,"Soft Drinks",153.602400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1366.2216000
DRE49,20.75000,"Low Fat",0.021370201000,"Soft Drinks",153.002400000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",2277.0360000
DRE49,20.75000,"Low Fat",0.035568147000,"Soft Drinks",151.802400000000,OUT010,1998,Small,"Tier 3","Grocery Store",151.8024000
DRE60,9.39500,"Low Fat",0.159201868000,"Soft Drinks",226.072000000000,OUT013,1987,High,"Tier 3","Supermarket Type1",3621.9520000
DRE60,9.39500,"Low Fat",0.159304333000,"Soft Drinks",226.172000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",3848.3240000
DRE60,9.39500,"Low Fat",0.159582185000,"Soft Drinks",224.772000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",7017.5320000
DRE60,9.39500,"Low Fat",0.159657596000,"Soft Drinks",224.972000000000,OUT045,2002,High,"Tier 2","Supermarket Type1",7696.6480000
DRE60,9.39500,"Low Fat",0.160235723000,"Soft Drinks",227.872000000000,OUT017,2007,High,"Tier 2","Supermarket Type1",1584.6040000
DRF01,5.65500,LF,0.175047104000,"Soft Drinks",146.910200000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",1895.5326000
DRF01,5.65500,LF,0.176070535000,"Soft Drinks",144.010200000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",1749.7224000
DRF01,5.65500,"Low Fat",0.000000000000,"Soft Drinks",147.510200000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",1166.4816000
DRF01,5.65500,"Low Fat",0.174934513000,"Soft Drinks",145.010200000000,OUT013,1987,High,"Tier 3","Supermarket Type1",1895.5326000
DRF01,5.65500,"Low Fat",0.175352413000,"Soft Drinks",147.410200000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",2478.7734000
DRF01,5.65500,"Low Fat",0.175793413000,"Soft Drinks",146.910200000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",1749.7224000
DRF03,19.10000,"Low Fat",0.045270426000,Dairy,38.813800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",731.0484000
DRF03,19.10000,"Low Fat",0.045299563000,Dairy,38.813800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",365.5242000
DRF03,19.10000,"Low Fat",0.045308131000,Dairy,42.513800000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",649.8208000
DRF03,19.10000,"Low Fat",0.045378573000,Dairy,42.413800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",243.6828000
DRF03,19.10000,"Low Fat",0.045400017000,Dairy,38.813800000000,OUT045,2002,High,"Tier 2","Supermarket Type1",690.4346000
DRF03,19.10000,"Low Fat",0.045492697000,Dairy,40.313800000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",527.9794000
